,angle,angle_speed,AccZ,brake,GyroY,GyroZ,Timestamp,
2185,-0.16133785,-0.67413837,0.4690132,0.071013086,0.13133603,0.009697486,3582898,0
1531,-1.0612316,-3.7307277,-1.1164789,0.000152716,0.009773844,0.021303926,3582544,0
1082,0.5482094,0.03599286,-0.6234894,-0.0346666,0.004886922,0.08116872,3582213,2
2705,1.631278,0.07806389,0.07370186,0.025198191,0.044593163,0.017638734,3583256,1
2690,-0.43388152,-0.30519927,0.2903347,0.055741455,0.000610865,-0.058108557,3583248,1
2266,-0.518232,0.08508863,1.3547163,0.034972034,-0.1423316,0.11904237,3582941,0
1277,-2.7992036,-0.6846703,-0.6576443,0.12843442,-0.10323623,0.15263996,3582407,0
1846,0.2746637,-0.9442871,0.66028404,0.16630806,0.18020524,0.026801713,3582715,0
1354,-0.4103278,-1.5791084,-0.7977667,0.024587326,0.089186326,0.062842764,3582449,0
165,-0.019195676,0.9062663,0.3053236,-0.001679879,0.058643065,0.08239045,3581718,2
2674,0.22986639,-0.5490696,0.374856,-0.06704246,0.037873644,0.046960264,3583239,1
3558,0.4616971,0.12688145,-1.5707979,-0.01695151,-0.014049901,-0.011071933,3583746,1
2327,0.9247714,-0.33397043,0.81051445,0.061239243,0.03726278,0.0622319,3583052,1
1824,2.688769,0.46490353,-2.3276749,-0.15012014,0.025045475,-0.51931185,3582703,0
3347,-0.9071928,-0.2377651,1.5229435,0.06246097,-0.008552114,-0.024510968,3583632,1
1084,-1.2864611,-0.3708721,0.9278736,-0.01817324,-0.070249505,0.14530957,3582214,2
985,0.51627886,-0.09710498,-0.51405144,0.001985312,-0.07880162,-0.033673946,3582161,2
2561,-0.10873592,0.15471572,-0.4898014,0.019700404,0.037873644,-0.018402316,3583178,1
1887,0.8055947,-0.9021375,-0.31082344,-0.04016439,0.001221731,-0.067882404,3582737,0
3287,0.26539326,0.014279068,0.23950768,-0.003512475,-0.026267206,-0.011682798,3583599,1
421,0.15953517,0.8927524,-0.015395164,-0.000458149,0.009773844,-0.014126259,3581856,2
3037,0.33487725,-0.5589317,-0.019843102,-0.005955936,-0.014049901,0.00908662,3583464,1
3399,1.2051921,-0.15718886,-1.2516298,0.07162395,0.21074851,-0.006185011,3583660,1
2288,0.076402426,-0.33726025,0.33785534,0.020922136,-0.12339478,-0.13141239,3582953,0
627,0.71410704,1.6791232,0.6327362,-0.023060163,-0.05375614,-7.64E-05,3581968,2
1652,0.7743602,-0.36095297,-0.5547552,0.013591751,-0.08735373,-0.01656972,3582610,0
3098,-0.755085,-1.5893935,-0.26125526,-0.024892759,-0.019547688,0.012140946,3583497,1
3467,0.7511618,-0.29677433,0.5584078,-0.03283401,-0.042760566,-0.06849326,3583696,1
2800,-0.15889883,-0.17220971,-0.81861115,-0.041996986,-0.031154128,0.04757113,3583307,1
799,0.4197464,-0.2435649,-0.49759674,-0.058490347,-0.021991149,-0.02023491,3582060,2
2847,-0.11585927,0.25688103,0.96662426,-0.01695151,-0.14782938,-0.02939789,3583332,1
2158,0.8676617,0.5482436,-0.8859587,-0.02977968,0.027488936,0.013362677,3582883,0
839,-0.6556679,0.5094374,-0.25769043,0.03863723,0.0720821,0.007254025,3582082,2
728,-0.4551549,-0.6998178,-0.32614422,-0.040775254,0.03176499,-0.05749769,3582022,2
361,0.91260767,0.9850935,0.61280537,-0.03894266,-0.031154128,0.007254025,3581824,2
1296,-0.51066995,-0.85383266,-1.2193108,-0.052381694,0.027488936,0.0182496,3582418,0
2526,-0.1612519,0.40623835,0.79947853,0.003207043,-0.021991149,-0.008017606,3583159,1
247,-1.1717485,-1.6960604,0.3665352,-0.03894266,-0.03176499,0.093386024,3581762,2
2459,0.43164825,-1.3131849,0.42152596,0.007483099,0.02687807,-0.058719423,3583123,1
2462,1.5654013,-0.6560854,-0.3070774,-0.018784106,0.10445796,-0.007406741,3583125,1
1931,-0.5078242,0.54503703,-0.6384096,-0.02977968,-0.048258353,-0.086819224,3582760,0
2475,0.3442576,-1.2636533,-0.62236977,-0.032223143,-0.01282817,0.021914791,3583132,1
1514,1.0837841,0.77579236,-0.59417915,-0.006566802,0.06047566,-0.035506543,3582535,0
1808,-0.14283764,-1.1858808,1.780016,0.03924809,0.15271631,-0.082543164,3582694,0
1022,-0.84091973,-1.0318019,-0.38201427,-0.020005837,0.13622294,0.10010554,3582181,2
3321,0.13486338,-0.10086401,-0.16753387,0.03436117,0.04886922,-0.023900103,3583618,1
2003,0.63505435,-0.74285996,-1.3462696,0.025198191,-0.099571034,-0.09353874,3582799,0
1665,-0.60453093,-0.08956313,0.23934269,0.017256944,-0.040317107,-0.002519819,3582617,0
3600,-0.6489413,-0.17860144,0.31533623,0.03680463,0.03176499,0.07933612,3583768,1
2484,0.26890612,0.8851,-0.6618309,0.04718934,-0.02443461,0.024358252,3583137,1
3009,0.03490305,0.37720993,-0.1988287,0.018478673,0.03481932,-0.025732698,3583449,1
1756,1.0374362,0.6149178,-0.017846107,0.014202617,0.14782938,-0.05933029,3582666,0
1240,0.006242156,-1.743127,0.08949566,-0.024892759,0.01038471,0.032910366,3582387,0
1343,0.86962986,-0.41113913,-0.7015228,0.09483683,0.02565634,-0.01656972,3582443,0
3428,-1.842548,-0.20672023,-0.6826668,-0.031001411,0.03604105,0.11598804,3583675,1
3556,0.15288877,-0.28587577,-0.17908955,0.00992656,0.14172074,0.053068917,3583745,1
2594,0.42234755,-0.47539926,0.046901703,0.044135015,-0.06536258,0.022525655,3583196,1
2216,-0.2732284,0.6365844,1.7028093,0.101556346,0.042760566,0.058566704,3582914,0
2353,0.93017673,0.8451406,0.82563686,-0.02977968,0.053145275,-0.058719423,3583066,1
2537,-0.027569294,0.24369913,0.47085285,-0.029168816,0.013439035,0.005421429,3583165,1
1392,1.0354649,0.9542857,0.3492403,-0.021838432,0.04886922,0.000534507,3582469,0
375,0.19709587,0.24788718,0.5003128,-0.098807454,0.05009095,0.09155343,3581832,2
2242,1.6150904,1.3464308,0.27982807,-0.062155537,-0.02687807,-0.064828075,3582928,0
66,-1.561934,1.0792023,0.28938866,-0.2759584,-0.321926,-0.009239337,3581665,2
160,0.072965264,-0.3128336,-0.99978065,0.059406646,0.021380283,0.094607756,3581715,2
1543,0.32270765,-0.554566,0.3666811,0.006261369,-0.012217305,0.046960264,3582551,0
3014,1.4664464,-0.09209782,-0.6404524,-0.087201014,0.0983493,-0.4967098,3583452,1
43,0.24483013,0.65835357,-0.44392014,0.004428773,0.042760566,0.05795584,3581652,2
21,-0.16773546,-1.0927223,-0.4438877,-0.01572978,0.048258353,0.001756238,3581640,2
2299,-0.5521755,-0.12559235,0.21941566,0.039858956,-0.019547688,0.34261903,3582959,0
1148,-0.07882285,-0.68992335,0.21474934,-0.02855795,0.013439035,0.024358252,3582249,2
909,-1.5841078,1.0412526,1.6226139,-0.117744274,-0.004886922,0.029245174,3582120,2
2092,-0.02995658,-0.9623791,-2.244502,0.008093964,-0.028710667,0.13003793,3582847,0
3131,0.9936614,-0.8054261,-0.40365887,-0.06154467,-0.03481932,-0.033673946,3583515,1
2070,1.5314102,-1.549324,0.63356304,0.014813482,-0.039095376,-0.07826711,3582836,0
3501,1.5935901,0.45183477,1.4900284,-0.058490347,0.124005646,-0.042836927,3583715,1
119,1.1234715,0.5328438,-0.19660187,-0.14828753,0.16493362,-0.10086913,3581693,2
1844,0.74431884,-2.0448718,0.8651724,-0.08964448,-0.17165314,0.012751812,3582714,0
1580,0.38763595,-0.30545896,0.82347965,0.033750303,0.1386664,-0.046502117,3582571,0
693,0.074970484,0.4689448,-1.2825317,0.022143865,-0.089186326,0.0463494,3582003,2
1554,0.56358194,0.8718117,-0.8176098,-0.072540246,-0.16310102,-0.047112983,3582557,0
750,-0.015871167,-0.021241963,-0.91573524,0.12721269,0.23945917,-0.04772385,3582034,2
2630,-1.1394309,0.37974364,-0.4990549,-0.0364992,-0.03481932,-7.64E-05,3583215,1
2595,-0.59907615,-0.3555925,0.49317265,-0.08109236,-0.002443461,0.067118816,3583196,1
857,0.756737,0.92165613,0.76568985,0.016035212,0.032986723,-0.00374155,3582092,2
408,-1.2269511,-0.5976982,-0.06204319,0.08628472,0.005497787,0.03596469,3581849,2
1110,-0.12730014,-0.08631774,0.3479681,-0.01450805,-0.034208454,0.034742963,3582228,2
947,0.41171062,-0.1767698,-0.6245642,0.05390886,0.04642576,-0.000687223,3582140,2
3225,1.4404956,-0.21681309,0.75188255,-0.02367103,-0.01282817,-0.03611741,3583566,1
3065,-0.9870571,-0.5701137,-1.3848581,0.082619525,-0.15577064,0.030466905,3583479,1
855,-0.7531837,-2.0831609,-1.6527739,0.055741455,-0.122783914,-0.053221636,3582091,2
1413,0.65656686,3.1134374,-0.59249973,-0.12385293,0.052534413,-0.070936725,3582481,0
389,-0.5593376,0.5207645,-1.5903459,-0.043829583,0.06841691,0.014584408,3581839,2
3434,0.5093919,-0.066346824,0.14737701,0.094225965,0.07086037,0.008475755,3583679,1
1883,1.0161066,1.5612222,-0.69595814,0.03313944,0.042760566,0.009697486,3582735,0
2823,1.2094154,0.58172417,-1.8345971,0.05207626,0.13927728,0.04390594,3583320,1
856,0.7933061,-0.03100735,-1.3851261,0.019700404,0.004276057,-0.048945576,3582091,2
1606,-1.345038,-0.21489197,2.2376356,-0.06582073,-0.14049901,-0.035506543,3582585,0
422,-0.6067896,-1.0438714,-0.13830662,0.013591751,-0.21380283,-0.039171733,3581857,2
1629,-0.039466262,0.7569465,-0.6366463,0.039858956,-0.014660766,-0.014126259,3582597,0
2738,0.10918069,0.85275376,-0.78305817,-0.032223143,0.065973446,0.06650795,3583274,1
461,0.9869417,-0.010799736,0.3902979,-0.02733622,0.014049901,-0.005574145,3581878,2
137,0.7124877,0.16797096,0.4198017,-0.01572978,-0.012217305,0.08055785,3581703,2
1570,0.092050076,-0.011691608,-4.010053,-0.043218717,-0.12461651,-0.006795876,3582566,0
2517,0.4265126,-0.5876267,-0.1676569,-0.002290745,-0.111177474,0.06895141,3583154,1
3211,0.10493541,-0.08492607,1.0092564,0.036193766,-0.07391469,-0.021456642,3583558,1
2552,-0.79814684,-0.1867679,-0.11819172,0.019700404,0.018325957,0.002977968,3583173,1
501,-0.20290077,-1.1505759,0.31783962,0.006261369,-0.029932396,0.005421429,3581900,2
154,-1.1739001,0.18183313,-0.30236626,-0.007177667,0.036651913,0.004199699,3581712,2
3033,0.22682416,2.062256,1.5055695,0.041691553,-0.08002335,0.038408153,3583462,1
1206,-2.3490958,-0.3117493,0.4684677,0.071013086,0.04520403,0.39209914,3582369,0
2231,0.15854108,-0.9296364,-2.0321412,0.011759156,0.004886922,0.041462477,3582922,0
486,0.5029361,0.03971535,1.3790188,0.065515295,0.2003638,0.106214195,3581891,2
2935,-0.087272406,-0.88402,-0.75428295,0.007483099,-0.032986723,0.08544478,3583409,1
89,1.9347279,0.7842797,-1.5967312,-0.16050485,-0.16493362,-0.22670737,3581677,2
698,0.06470144,-0.1331925,-0.40623283,-0.00290161,0.07269296,0.09644035,3582006,2
602,0.284276,0.47457635,0.3851347,-0.06765333,-0.01160644,-0.2242639,3581954,2
424,-1.0590467,-0.473343,-1.4633007,-0.07925977,-0.12950343,0.015195273,3581858,2
3057,-2.1528187,0.5033488,-2.4876776,0.12660182,-0.0983493,0.024358252,3583475,1
1917,1.150864,-0.11172935,0.71748257,0.085673854,-0.080634214,-0.22120957,3582753,0
1216,0.9135362,0.26838923,0.3909006,0.034972034,0.025045475,0.061621033,3582374,0
63,-0.6348057,0.67214185,-0.2979393,0.024587326,0.000610865,-0.006795876,3581663,2
1520,0.24028659,-0.8117553,0.40900135,0.016035212,-0.15332718,-0.005574145,3582539,0
3183,0.7208046,-0.76530236,0.33050537,-0.043218717,-0.17104226,-0.04100433,3583543,1
77,1.1962264,-0.36534023,-0.67862415,0.11071932,0.014049901,-0.06421721,3581671,2
1942,0.85401237,0.40861845,0.8123045,-0.02611449,-0.047036625,-0.021456642,3582766,0
3470,0.8450128,0.8253962,-0.27239132,0.05390886,0.015882496,-0.05261077,3583698,1
2220,4.8323727,-0.05358831,-0.71993256,0.03313944,0.04886922,-0.23159428,3582917,0
569,0.50870955,-2.3056333,1.3682127,0.022143865,-0.009162978,0.051236324,3581936,2
2210,1.8842378,1.3930384,0.29321003,-0.009621128,0.06352998,0.044516806,3582911,0
1189,0.29674506,-0.30571723,-0.28483677,0.11499538,-0.07391469,0.56802833,3582271,2
3147,0.12725401,0.5076096,0.039785385,0.005039638,-0.018325957,-0.028787024,3583524,1
3029,-0.57665527,0.409594,-0.16346359,-0.031001411,0.70554936,0.097662084,3583460,1
340,0.15516281,0.4742343,0.49960518,0.059406646,0.023823744,-0.030008756,3581813,2
748,-0.13473308,-0.044433787,-1.0820408,-0.15622878,0.22174409,0.036575556,3582033,2
215,-1.2199274,-0.11093432,1.485364,0.022143865,0.009773844,0.034132097,3581745,2
2237,2.2829127,-0.8017263,-2.0442324,-0.034055736,-0.093462385,-0.10514518,3582926,0
3509,1.5660052,0.13903841,-1.4059582,-0.019394971,-0.005497787,-0.04589125,3583719,1
1813,-0.40335584,1.7624311,-2.068109,0.03680463,0.18692477,0.19967657,3582697,0
1061,1.0580661,-0.9196763,0.362175,0.14248432,0.19608775,-0.014126259,3582202,2
976,-1.2130157,-0.1089139,0.310256,0.022143865,-0.056199603,0.026801713,3582156,2
567,-0.400496,-0.5043357,-0.6483774,0.03191771,0.1826487,0.27908906,3581935,2
3277,-1.2118407,0.662245,0.41749668,-0.07376198,0.02687807,0.004810564,3583594,1
2078,-1.4770474,0.7746627,0.7845011,0.089949906,-0.086132,-0.03428481,3582840,0
1784,-0.000203133,0.1189602,0.4422722,0.21395555,-0.049480084,0.76289433,3582681,0
3243,-0.07254362,0.19781452,0.15579224,0.04841107,0.037873644,0.011530082,3583575,1
3574,-0.9690069,0.15943676,-0.39686203,-0.06582073,-0.21685717,-0.122860275,3583754,1
2167,0.06545639,-0.10480933,-1.4521685,0.025198191,-0.056199603,-0.054443367,3582888,0
1672,0.20796096,1.3054607,-0.95221806,0.027030786,0.15271631,0.02069306,3582621,0
2686,0.21890557,0.47213322,-0.8539095,0.034972034,-0.03970624,-0.04344779,3583246,1
1840,-2.1032097,-0.6771042,1.4774008,-0.04810564,0.099571034,0.020082194,3582711,0
1842,1.687256,0.27948594,-0.33499813,0.10216721,0.1563815,0.044516806,3582712,0
3189,-0.21004248,0.41883174,-0.9728174,0.010537425,0.015882496,0.030466905,3583546,1
2601,0.06028092,0.4117208,1.5577402,-0.02367103,-0.040317107,0.020082194,3583200,1
2672,-0.7969606,0.07108328,-0.97619057,0.025809057,0.07086037,0.0463494,3583238,1
615,0.4732579,0.34051347,0.37805557,0.03436117,-0.012217305,0.02069306,3581961,2
1578,-0.05468917,-1.5917706,-0.1591959,0.026419923,0.059864793,0.028023442,3582570,0
2200,-0.31957746,-2.9166229,-1.6278615,-0.095753126,-0.5345071,0.00908662,3582906,0
3580,-0.043811083,0.43101987,0.309906,-0.002290745,-0.0421497,0.009697486,3583757,1
1582,-0.3055036,1.4946508,0.12844181,-0.010231993,-0.04153884,0.02069306,3582572,0
2638,-0.003247738,0.31583923,-0.3170538,0.005039638,0.02443461,-0.017180584,3583220,1
1070,-1.3095269,-1.8079691,0.26051617,-0.000458149,-0.089186326,0.004810564,3582207,2
479,0.44990587,0.5561523,-0.31680202,-0.020616703,0.028710667,0.04085161,3581888,2
2262,-0.69648564,0.5450225,-2.2815542,-0.00412334,-0.047036625,0.034742963,3582939,0
3071,0.08080566,0.5452536,0.16222858,-0.025503624,-0.01282817,0.043295074,3583483,1
1641,-0.34906828,-0.35589623,0.27834988,0.003817908,-0.037873644,0.041462477,3582604,0
573,-0.36864388,-0.08297765,-0.11356926,-0.001679879,-0.1020145,0.17157678,3581938,2
2757,0.7902926,1.0874567,2.4759579,0.054519724,0.06047566,0.007254025,3583284,1
1044,1.2067044,3.1695592,-0.26472378,0.022143865,-0.089186326,-7.64E-05,3582193,2
2067,-0.067103624,-1.6813908,-0.8012562,-0.037110064,0.09712757,-0.023289237,3582834,0
152,0.13886309,0.06452134,-0.8004379,-0.013286319,0.04337143,0.01947133,3581711,2
2964,0.111035466,-0.4611399,0.40483856,0.033750303,0.017104227,0.3554472,3583425,1
3637,-4.636523,-1.9162681,0.14874554,-0.70661837,-1.5870279,-0.9011026,3583788,1
1465,-2.3421397,1.060869,-2.070764,0.05757405,0.001221731,0.15752688,3582509,0
1775,2.448679,-1.4662509,0.9944792,-0.01817324,0.036651913,-0.13141239,3582676,0
1409,0.02377677,-1.017384,0.26242256,0.033750303,0.07819075,-0.04344779,3582479,0
3356,-0.005680442,-0.81590223,1.1484413,0.007483099,0.012217305,0.04085161,3583637,1
984,-0.24298453,-0.9406243,0.9821291,-0.05177083,0.015882496,-0.00496328,3582160,2
2873,0.35493374,0.16941532,-0.19886589,-0.001069014,0.004886922,0.006032294,3583376,1
355,0.36252725,-0.053932965,0.6794853,0.09911288,0.1459968,0.08544478,3581821,2
1069,0.7153151,-0.35674316,-1.111206,-0.024892759,-0.015271631,0.021914791,3582206,2
3141,0.30429292,-0.852303,-0.6569891,-0.013286319,0.014049901,0.03718642,3583520,1
1271,0.22797513,-0.39392185,0.44565296,-0.010842858,-0.10751228,-0.07826711,3582404,0
118,0.38730168,0.006276071,2.904272,-0.072540246,0.015271631,-0.059941154,3581693,2
3538,-0.4252895,1.269599,1.7697401,0.046578474,0.044593163,0.11476631,3583735,1
738,0.17454004,1.7030935,2.532301,-0.012064588,-0.013439035,-0.09903653,3582028,2
3143,-0.14737844,0.0716809,-1.0752649,-0.00290161,0.06414085,0.046960264,3583521,1
2841,0.057330847,0.06691563,0.6102524,0.00992656,0.027488936,0.002367103,3583329,1
1381,-0.6504388,0.4122701,0.99094296,-0.091477074,-0.21685717,0.0463494,3582463,0
3409,-0.026437521,-0.3254815,0.14625263,0.02031127,-0.047647487,0.013362677,3583665,1
1010,-0.09431934,-0.28084219,-0.69957924,0.012980887,-0.21563543,-0.14057536,3582174,2
1312,-0.93830514,-1.1339355,0.5764408,-0.050549097,-0.03970624,0.00786489,3582426,0
3322,-0.014051914,-0.049515728,0.3129816,0.021533,0.023823744,0.006643159,3583618,1
1316,1.8799226,-0.5767874,-3.4677734,-0.00412334,-0.05375614,-0.12041681,3582428,0
464,0.18587554,-0.12571466,-0.97267056,-0.010231993,0.10445796,0.016417004,3581880,2
81,-0.9347031,-0.4371791,-0.59119606,-0.110413894,-0.026267206,-0.11552989,3581673,2
3569,1.1067688,1.8392589,0.6612263,0.037415497,0.27855456,-0.05749769,3583752,1
1172,1.7419918,0.26773882,0.25257206,-0.019394971,-0.020158553,-0.18822286,3582262,2
923,-1.3889589,-0.5083616,-0.31637955,0.016646078,-0.014049901,-0.038560867,3582127,2
3438,1.6450608,0.60488254,0.8773804,0.03680463,-0.14844026,-0.08437576,3583681,1
241,-1.434068,-0.23500597,-0.18689156,-0.012064588,-0.003665192,0.014584408,3581759,2
2245,0.16353011,-0.80586743,-0.62458897,-0.071318515,-0.06658431,-0.030619621,3582930,0
2692,-1.7596831,-0.3068025,0.70771885,0.004428773,-0.01160644,0.08666651,3583249,1
2718,-0.096176386,0.29610783,-0.27046013,-0.025503624,-0.040927973,-0.002519819,3583263,1
2640,0.28393292,-0.6982302,-0.5474119,-0.043829583,0.07452556,-0.014737124,3583221,1
2904,-1.0197378,-0.59955513,0.64929485,0.000763582,0.048258353,0.024969118,3583392,1
649,-1.907216,0.15964231,1.862299,0.024587326,-0.069027774,0.16791159,3581979,2
3481,0.1647507,0.03861253,-0.26401615,-0.09636399,-0.030543262,0.053679783,3583704,1
613,-0.19993865,0.43333232,-1.6276379,-0.075594574,-0.065973446,0.02313652,3581960,2
3187,-0.49362242,1.0767595,0.3945036,-0.030390546,0.073303826,0.026190847,3583545,1
3119,0.30923808,0.8856206,1.095418,-0.007177667,0.10567969,0.013362677,3583509,1
3265,-0.5689651,-0.1707403,0.756052,0.02275473,0.20647246,0.004810564,3583587,1
3080,1.1153325,1.2911195,-0.22406101,0.014202617,0.07574729,0.005421429,3583487,1
178,-0.37709296,-0.07718876,-1.2471294,0.002596177,-0.03970624,0.025579982,3581725,2
1875,1.1625085,0.37146586,-0.738986,-0.020616703,-0.25595254,-0.06543894,3582730,0
538,0.032126665,-1.4262593,0.34059143,0.010537425,-0.047647487,-0.001908954,3581920,2
3288,0.8555958,-0.18352985,-0.08159542,-0.06154467,-0.13561209,-0.001908954,3583600,1
2060,-0.78345215,1.0488371,0.020175934,-0.0786489,-0.0421497,0.027412578,3582830,0
1471,-0.11665785,-1.339486,-0.23321724,-0.000458149,0.009773844,0.00908662,3582512,0
2957,-1.252033,0.011879206,0.09904766,0.05879578,0.012217305,0.2925281,3583421,1
979,-1.2156482,0.34085906,0.2517872,0.042913284,-0.047647487,0.06528623,3582158,2
2688,-0.72091055,-1.8717018,0.37324333,0.000152716,-0.05375614,-0.06421721,3583247,1
3129,0.40875602,-0.5266468,-0.7725649,-0.01450805,-0.07941248,-0.001298089,3583514,1
1858,-2.6206374,-0.5814907,-2.7191024,0.03436117,0.070249505,0.10560333,3582721,0
3422,-1.2657417,0.51737225,-0.6817999,0.037415497,-0.029932396,-0.019013181,3583672,1
3259,-0.8416989,0.23067197,-2.3040986,0.012370021,-0.073303826,-0.0397826,3583584,1
1798,-0.030798912,0.4267757,0.071240425,0.059406646,0.0421497,0.21189389,3582689,0
3362,0.7015536,0.81218594,-0.021233559,0.015424348,0.007330383,0.043295074,3583640,1
1221,-0.73779047,0.6672817,0.25414371,0.017256944,-0.019547688,0.15813774,3582377,0
2180,-3.5877204,1.2262022,0.09566975,-0.055436023,0.05131268,0.18379408,3582895,0
1131,-0.008668184,-1.3679628,0.6250706,-0.01695151,0.04520403,0.012140946,3582240,2
517,-0.22838187,-0.4724136,-0.19549751,-0.09086621,-0.10567969,0.039629884,3581908,2
1035,1.6600564,0.7221306,0.57489586,0.049021937,0.13622294,0.08544478,3582188,2
1009,-0.19407701,0.5433287,-0.094353676,-0.012675454,-0.053145275,-0.000687223,3582174,2
103,-1.0362381,0.08818948,-0.9361582,0.08628472,-0.005497787,0.031077769,3581685,2
1337,-0.38850576,-0.36773205,-0.41858387,-0.024281893,0.053145275,0.09094256,3582440,0
2923,-0.25647116,-0.10576618,-0.3405733,-0.035888333,-0.099571034,-0.053221636,3583403,1
1617,-0.9338046,0.029154837,-1.8537164,0.13087788,-0.18753563,-0.15890132,3582591,0
153,0.2125578,0.6613016,-0.030713081,0.029474247,-0.030543262,0.018860465,3581712,2
2293,-0.7640071,-1.8433112,1.1012268,0.03863723,-0.35185838,-0.110032104,3582956,0
2950,1.204869,0.48729485,0.6146755,0.054519724,0.24312437,-0.2926808,3583417,1
1273,0.35753214,-2.124141,0.48359776,0.05207626,0.07269296,0.036575556,3582405,0
2272,0.36296797,-1.315528,0.15228558,0.01786781,0.044593163,0.017638734,3582945,0
1169,1.0389175,-0.4486155,0.51570225,-0.04260785,-0.002443461,-0.1295798,3582260,2
269,0.12841725,-0.80596346,0.17331123,-0.015118915,-0.05009095,-0.01779145,3581774,2
311,-0.674546,-0.60552186,0.08272934,0.0355829,0.03726278,-0.036728274,3581797,2
2404,-0.31716812,-1.3101573,0.24253082,0.005039638,-0.13744467,-0.06604981,3583093,1
1974,-0.7923492,0.95108724,-0.07748985,0.027030786,0.01160644,-0.022067508,3582784,0
1876,-1.6584026,0.94669855,-0.48684597,0.04718934,0.1001819,0.17768542,3582731,0
2184,0.91556716,1.3033452,0.27143192,0.029474247,0.037873644,0.020082194,3582897,0
1405,0.11086357,0.13982368,-0.31711864,0.02031127,0.023823744,0.05551238,3582476,0
2419,-0.13301528,0.03472703,-0.38325405,0.003207043,0.016493361,0.07322747,3583101,1
604,0.62328863,0.20398295,0.350832,-0.1385137,-0.10323623,-0.49793154,3581955,2
3262,-0.7781638,-0.6225573,1.4487295,-0.029168816,0.023823744,-0.004352415,3583586,1
1625,-0.20129752,-1.7067463,0.48101902,0.038026363,-0.2687807,-0.017180584,3582595,0
2938,-0.54446185,0.38532925,0.30800152,0.056352317,-0.03726278,0.3554472,3583411,1
2564,-0.19343853,-0.12493688,-0.32754326,0.012980887,-0.010995574,-0.019624045,3583180,1
1609,-1.602249,-0.079269886,-1.8577051,-0.009621128,-0.058643065,-0.022678372,3582587,0
1903,0.43867004,-0.68166953,0.49632263,0.042913284,0.003665192,0.002977968,3582745,0
670,1.9405804,-2.1030433,0.547719,0.009315695,0.19425514,-0.061773747,3581991,2
2248,0.502944,-1.4243201,-0.072883606,-0.021838432,-0.040317107,-0.002519819,3582932,0
3343,0.4756627,-0.17896196,-1.2064667,-0.06704246,0.19181168,-0.13019066,3583629,1
3567,2.0446403,0.7013926,0.6895008,-0.04260785,-0.056199603,-0.0978148,3583750,1
533,0.58838177,0.34991443,-0.3020258,0.017256944,0.059864793,-0.05749769,3581917,2
1591,0.5375329,-1.9117049,-0.26641178,0.0795652,0.100792766,-0.011071933,3582577,0
2298,-0.58956623,-1.1476033,-0.21294117,0.05513059,0.003054326,0.27908906,3582959,0
